day,case,weight,calories_burned,bmr
137,rigorous exercise,204.226603656256,340.59855980828416,1632.1332899182887
138,rigorous exercise,204.12933612995258,340.4363420620066,1631.6918741847771
139,rigorous exercise,204.0321149295024,340.2742015755893,1631.250668685465
140,rigorous exercise,203.93494003284175,340.11213831223586,1630.8096733202228
141,rigorous exercise,203.8378114179174,339.9501522351668,1630.36888798897
142,rigorous exercise,203.74072906268665,339.7882433076206,1629.9283125916734
143,rigorous exercise,203.64369294511727,339.6264114928529,1629.4879470283468
144,rigorous exercise,203.5467030431875,339.46465675413725,1629.047791199052
145,rigorous exercise,203.44975933488615,339.30297905476414,1628.6078450038985
146,rigorous exercise,203.35286179821242,339.14137835804206,1628.1681083430435
147,rigorous exercise,203.25601041117605,338.9798546272966,1627.7285811166914
148,rigorous exercise,203.15920515179724,338.81840782587113,1627.2892632250946
149,rigorous exercise,203.06244599810663,338.6570379171263,1626.8501545685522
150,rigorous exercise,202.96573292814534,338.49574486444004,1626.4112550474115
151,rigorous exercise,202.869065919965,338.3345286312082,1625.9725645620672
152,rigorous exercise,202.77244495162762,338.1733891808437,1625.5340830129612
153,rigorous exercise,202.67587000120568,338.0123264767767,1625.0958103005828
154,rigorous exercise,202.57934104678213,337.8513404824555,1624.657746325469
155,rigorous exercise,202.48285806645032,337.690431161345,1624.2198909882036
156,rigorous exercise,202.38642103831404,337.529598476928,1623.7822441894186
157,rigorous exercise,202.29002994048756,337.36884239270444,1623.3448058297924
158,rigorous exercise,202.1936847510955,337.20816287219196,1622.9075758100516
159,rigorous exercise,202.09738544827295,337.04755987892526,1622.4705540309692
160,rigorous exercise,202.00113201016538,336.8870333764564,1622.033740393366
161,rigorous exercise,201.9049244149287,336.7265833283549,1621.5971347981101
162,rigorous exercise,201.8087626407292,336.5662096982079,1621.1607371461164
163,rigorous exercise,201.71264666574362,336.40591244961934,1620.7245473383477
164,rigorous exercise,201.616576468159,336.2456915462111,1620.288565275813
165,rigorous exercise,201.52055202617282,336.0855469516217,1619.8527908595693
166,rigorous exercise,201.42457331799295,335.9254786295076,1619.4172239907198
167,rigorous exercise,201.32864032183767,335.7654865435423,1618.9818645704158
168,rigorous exercise,201.23275301593554,335.6055706574165,1618.5467124998556
169,rigorous exercise,201.13691137852558,335.4457309348383,1618.1117676802837
170,rigorous exercise,201.04111538785713,335.28596733953316,1617.677030012992
171,rigorous exercise,200.94536502218992,335.1262798352437,1617.24249939932
172,rigorous exercise,200.849660259794,334.96666838573003,1616.8081757406535
173,rigorous exercise,200.75400107894978,334.80713295476903,1616.3740589384256
174,rigorous exercise,200.65838745794804,334.64767350615546,1615.9401488941162
175,rigorous exercise,200.56281937508984,334.4882900037009,1615.5064455092522
176,rigorous exercise,200.46729680868663,334.3289824112342,1615.0729486854075
177,rigorous exercise,200.37181973706018,334.16975069260167,1614.6396583242026
178,rigorous exercise,200.27638813854256,334.0105948116665,1614.206574327305
179,rigorous exercise,200.1810019914762,333.8515147323094,1613.773696596429
180,rigorous exercise,200.08566127421378,333.6925104184281,1613.3410250333359
