day,case,weight,calories_burned,bmr
114,moderate exercise,212.16076107064248,176.87322845308645,1682.9104399205094
115,moderate exercise,212.11023789677938,176.83110852088143,1682.6812122164342
116,moderate exercise,212.0597267543168,176.78899861896025,1682.4520390997914
117,moderate exercise,212.0092276403897,176.74689874493433,1682.222920557581
118,moderate exercise,211.95874055213358,176.70480889641576,1681.9938565768075
119,moderate exercise,211.9082654866847,176.66272907101703,1681.7648471444777
120,moderate exercise,211.85780244118004,176.62065926635117,1681.5358922476019
121,moderate exercise,211.80735141275719,176.5785994800321,1681.3069918731926
122,moderate exercise,211.75691239855442,176.53654970967392,1681.0781460082667
123,moderate exercise,211.70648539571073,176.49450995289158,1680.8493546398427
124,moderate exercise,211.65607040136578,176.45248020730037,1680.6206177549439
125,moderate exercise,211.60566741265993,176.4104604705163,1680.3919353405952
126,moderate exercise,211.55527642673417,176.36845074015596,1680.1633073838254
127,moderate exercise,211.50489744073022,176.32645101383642,1679.9347338716661
128,moderate exercise,211.45453045179045,176.28446128917537,1679.7062147911522
129,moderate exercise,211.40417545705793,176.24248156379105,1679.4777501293215
130,moderate exercise,211.3538324536764,176.20051183530225,1679.2493398732147
131,moderate exercise,211.3035014387903,176.15855210132833,1679.020984009876
132,moderate exercise,211.25318240954473,176.11660235948926,1678.7926825263528
133,moderate exercise,211.20287536308547,176.0746626074056,1678.5644354096949
134,moderate exercise,211.152580296559,176.03273284269832,1678.3362426469557
135,moderate exercise,211.10229720711243,175.9908130629892,1678.1081042251917
136,moderate exercise,211.0520260918936,175.9489032659003,1677.880020131462
137,moderate exercise,211.001766948051,175.9070034490545,1677.6519903528292
138,moderate exercise,210.95151977273383,175.8651136100751,1677.4240148763593
139,moderate exercise,210.90128456309196,175.823233746586,1677.1960936891205
140,moderate exercise,210.8510613162759,175.78136385621173,1676.968226778185
141,moderate exercise,210.80085002943687,175.73950393657728,1676.7404141306274
142,moderate exercise,210.75065069972678,175.69765398530825,1676.5126557335257
143,moderate exercise,210.7004633242982,175.65581400003083,1676.2849515739606
144,moderate exercise,210.6502879003044,175.61398397837175,1676.0573016390167
145,moderate exercise,210.60012442489926,175.57216391795836,1675.8297059157808
146,moderate exercise,210.54997289523743,175.53035381641845,1675.602164391343
147,moderate exercise,210.49983330847417,175.48855367138046,1675.3746770527969
148,moderate exercise,210.44970566176545,175.4467634804734,1675.1472438872388
149,moderate exercise,210.39958995226792,175.40498324132687,1674.919864881768
150,moderate exercise,210.34948617713889,175.36321295157097,1674.6925400234873
151,moderate exercise,210.29939433353636,175.32145260883632,1674.4652692995019
152,moderate exercise,210.249314418619,175.27970221075427,1674.238052696921
153,moderate exercise,210.19924642954615,175.23796175495664,1674.0108902028558
154,moderate exercise,210.14919036347786,175.1962312390757,1673.7837818044213
155,moderate exercise,210.0991462175748,175.15451066074453,1673.5567274887355
156,moderate exercise,210.04911398899833,175.11280001759656,1673.3297272429193
157,moderate exercise,209.99909367491054,175.07109930726585,1673.1027810540963
158,moderate exercise,209.94908527247415,175.0294085273871,1672.8758889093942
159,moderate exercise,209.89908877885256,174.9877276755955,1672.6490507959427
160,moderate exercise,209.84910419120985,174.94605674952672,1672.4222667008753
161,moderate exercise,209.79913150671075,174.90439574681716,1672.195536611328
162,moderate exercise,209.74917072252072,174.86274466510375,1671.96886051444
163,moderate exercise,209.69922183580584,174.82110350202387,1671.742238397354
164,moderate exercise,209.64928484373291,174.77947225521555,1671.5156702472154
165,moderate exercise,209.5993597434694,174.73785092231734,1671.2891560511725
166,moderate exercise,209.5494465321834,174.69623950096843,1671.0626957963773
167,moderate exercise,209.49954520704372,174.6546379888085,1670.836289469984
168,moderate exercise,209.44965576521986,174.6130463834778,1670.6099370591503
169,moderate exercise,209.39977820388197,174.57146468261718,1670.3836385510372
170,moderate exercise,209.34991252020086,174.529892883868,1670.1573939328086
171,moderate exercise,209.30005871134804,174.48833098487228,1669.931203191631
172,moderate exercise,209.25021677449567,174.44677898327242,1669.7050663146747
173,moderate exercise,209.2003867068166,174.40523687671154,1669.4789832891124
174,moderate exercise,209.15056850548436,174.3637046628333,1669.25295410212
175,moderate exercise,209.10076216767314,174.32218233928185,1669.026978740877
176,moderate exercise,209.0509676905578,174.28066990370198,1668.8010571925652
177,moderate exercise,209.00118507131387,174.23916735373896,1668.5751894443702
178,moderate exercise,208.95141430711757,174.1976746870387,1668.3493754834797
179,moderate exercise,208.90165539514578,174.15619190124767,1668.1236152970853
180,moderate exercise,208.85190833257607,174.11471899401278,1667.8979088723813
181,moderate exercise,208.80217311658666,174.07325596298165,1667.672256196565
182,moderate exercise,208.75244974435643,174.03180280580236,1667.4466572568372
183,moderate exercise,208.70273821306498,173.99035952012363,1667.2211120404008
184,moderate exercise,208.65303851989253,173.94892610359472,1666.9956205344627
185,moderate exercise,208.60335066202,173.9075025538653,1666.7701827262326
186,moderate exercise,208.55367463662898,173.86608886858588,1666.5447986029226
187,moderate exercise,208.50401044090174,173.82468504540728,1666.3194681517489
